abdominales aβðominales
mariposa maɾiposa
tápalo tapalo
sangría saŋɡɾia
matadero mataðeɾo
remontado remontaðo
seguidilla seɣiðiʝa
chocolate ʧokolate
handicap andikap
granada ɡɾanaða
coral koɾal
coral koɾal
remonta remonta
pico piko
juramento xuɾamento
graffiti ɡɾafiti
huevos w̝eβos
burro buro
magia maxja
huevo w̝eβo
plata plata
juramentado xuɾamentaðo
humo umo
piñata piɲata
acre akɾe
son son
boulevard buleβaɾð
moro moɾo
boy boj
computadora komputaðoɾa
viña biɲa
loco loko
loco loko
man man
conejo konexo
pupitre pupitɾe
escritorio eskɾitoɾjo
teléfono telefono
pato pato
matador mataðoɾ
mundo ˌombɾe ðel mundo
guerra ˌombɾe ðe ɣera
helado elaðo
reloj relox
pollo poʝo
lampa lampa
saya saʝa
gallo ɡaʝo
gallo ɡaʝo
gallo ɡaʝo
torta toɾta
día dia
pizza pitsa
rato rato
rato rato
mapa mapa
as as
español espaɲol
español espaɲol
simba simba
right rajt
re re
leche leʧe
pants pants
nada naða
friend fɾend
borne boɾne
molar molaɾ
larva laɾβa
rata rata
rata rata
pata pata
pata pata
química ˌfoɾmula kimika
liberal liβeɾal
tundra tundɾa
alas alas
vuelta ˌiða i βwel̪ta
capital kapital
capital kapital
dodo doðo
chat ʧat
vocal bokal
vocal bokal
vapor bapoɾ
feed fið
reactor reaɣtoɾ
claque klake
he e
cliché kliʧe
pin pin
pin pin
bet bet
we we
factor faɣtoɾ
conductor konduɣtoɾ
conductor konduɣtoɾ
cable kaβle
tractor tɾaɣtoɾ
candor kandoɾ
actor aɣtoɾ
actor aɣtoɾ
reset riset
exterior eɣsteɾjoɾ
remake rimejk
ye ʝe
look luk
interior inteɾjoɾ
funeral funeɾal
bug baɣ
break bɾejk
canal kanal
verbal beɾβal
parasol paɾasol
mama mama
vermú beɾmu
bacteria baɣteɾja
bat bat
limo limo
shake ʃejk
vero beɾo
ideal iðeal
criminal kɾiminal
shot ʃot
hit xit
albero alβeɾo
crush kɾuʃ
do do
swing swin
bol bol
split esplit
crisis kɾisis
anchor anʲʧoɾ
spin espin
chin ʧin
control kontɾol
collar koʝaɾ
rumor rumoɾ
era eɾa
era eɾa
show ʃow
simple simple
simple simple
strike stɾajk
cake kejk
bien bjen
et et
pay paj
varón baɾon
pos pos
living liβin
barón baɾon
chingón ʧiŋɡon
bridge bɾiʧ
piano pjano
doctor doɣtoɾ
base base
chan ʧan
katana katana
plasma plazma
round raund
cover koβeɾ
flow flow
mal mal
virrey birej
display displej
hanzi xansi
sal sal
sensei sensej
shock ʃok
set set
torque toɾke
torque toɾke
mana mana
mana mana
mana mana
lifting liftin
sábado saβaðo
ano ano
flash flaʃ
ese ese
clutch kloʧ
metrosexual metɾoseɣswal
waffle w̝afle
metal metal
workshop woɾɣʃop
tanto tanto
outlet awtlet
san san
san san
mole mole
mole mole
sake sake
hospital ospital
errata erata
anime anime
anime anime
box boɣs
pub paβ
party paɾti
manga maŋɡa
manga maŋɡa
manga maŋɡa
still estil
mayor maʝoɾ
mayor maʝoɾ
domingo domiŋɡo
house xaws
snow ezno
nadir naðiɾ
full ful
short ʃoɾt
homosexual omoseɣswal
pipe pipe
crema kɾema
crema kɾema
u u
e e
latino latino
rifle rifle
hardware xaɾðweɾ
paper pejpeɾ
link liŋk
las las
output awðput
cuerpo kweɾpo
sangre saŋɡɾe
host xost
jaguar xaɣwaɾ
millón miʝon
kimono kimono
floro floɾo
árbol aɾβol
música musika
juta xuta
miel mjel
eclipse ekliβse
maison meson
jueves xweβes
gamma ɡama
flor floɾ
theta teta
libro liβɾo
ni ni
digamma diɣama
iota iota
okapi okapi
tulipán tulipan
beta beta
cor koɾ
osso oso
pesca peska
eta eta
casa kasa
uva uβa
lunar lunaɾ
talo talo
calle kaʝe
lambda lamda
xi si
mela mela
delta del̪ta
delta del̪ta
natural natuɾal
kappa kapa
café kafe
idea iðea
fe fe
test test
echo eʧo
mu mu
kilo kilo
kayak kaʝak
sonar sonaɾ
co ko
ge xe
ca ka
escudo eskuðo
bus bus
info iɱfo
rho ro
argentine aɾxentine
croissant kɾwasan
pis pis
semiconductor semikonduɣtoɾ
milkshake milɣʃejk
resistor resistoɾ
omega omeɣa
terminal teɾminal
terminal teɾminal
laurel lawɾel
labor laβoɾ
acusado akusaðo
micro mikɾo
micro mikɾo
micro mikɾo
micro mikɾo
multi mul̪ti
tri tɾi
tri tɾi
amargura amaɾɣuɾa
mus mus
individual indiβiðwal
error eroɾ
tile tile
pe pe
toro toɾo
toro toɾo
toro toɾo
mega meɣa
slash eslaʃ
ele ele
uve uβe
lava laβa
lava laβa
jet ʝet
vodka boðka
bagel baɣel
testa testa
tomate tomate
staff estaf
oveja oβexa
palomita palomita
vector beɣtoɾ
crash kɾaʃ
pisa pisa
mies mjes
vid bið
sigma siɣma
psi si
feta feta
destino destino
pun pun
cola kola
cola kola
cola kola
es es
visa bisa
mail mejl
share ʃeɾ
ola ola
caveat kaβeat
ampere ampeɾe
joule ʝul
ohm om
pascal paskal
lux luɣs
candela kandela
banjos baŋxos
watt wat
lumen lumen
negro neɣɾo
negro neɣɾo
hockey xokej
tuberculosis tuβeɾkulosis
temple temple
promo pɾomo
miasmas mjazmas
pop pop
judo xuðo
la la
flux fluɣs
cuerno kweɾno
jersey xeɾsej
spam spam
tau taw
miasma mjazma
collage kolaʃ
computador komputaðoɾ
sí si
penumbra penumbɾa
ordenador oɾðenaðoɾ
gym ʝim
wasabi wasaβi
brioche bɾjoʧe
estado estaðo
altar al̪taɾ
cacahuate kakawate
hermanas eɾmanas
mate mate
mate mate
mate mate
mate mate
labia laβja
drone dɾon
maní mani
ido iðo
agua aɣwa
petrel petɾel
score eskoɾ
cheque ʧeke
achiote aʧjote
hernia eɾnja
forte foɾte
sunroof sanruf
ADN ˌa ˌðe ene
té te
perfume peɾfume
barranca baraŋka
flamingo flamiŋɡo
bracket bɾaket
cocoa kokoa
rock rok
cobra koβɾa
panda panda
panda panda
club kluβ
patata patata
manual manwal
otoño otoɲo
baba baβa
propaganda pɾopaɣanda
ángel aŋxel
mote mote
mote mote
drama dɾama
atlas atlas
festival festiβal
ska ska
pare paɾe
curio kuɾjo
curio kuɾjo
souvenir suβeniɾ
bar baɾ
bar baɾ
bes bes
bes bes
kitsch kiʧ
random random
pelta pel̪ta
secreto sekɾeto
tuna tuna
tuna tuna
tuna tuna
pope pope
real real
real real
corpus koɾpus
pudding puðin
poeta poeta
fan fan
nebulosa neβulosa
saber saβeɾ
ex eɣs
etimología etimoloxia
virgo biɾɣo
nude nuðe
primavera pɾimaβeɾa
primavera pɾimaβeɾa
primavera pɾimaβeɾa
hecatombe ekatombe
vespa bespa
timbre timbɾe
oasis oasis
vendo bendo
vendo bendo
torso toɾso
don don
don don
dibujo diβuxo
tea tea
hippie xipi
ser seɾ
video biðeo
sumo sumo
bestia bestja
bestia bestja
diagnosis djaɣnosis
series seɾjes
leo leo
lupa lupa
siete sjete
italiano italjano
italiano italjano
italiano italjano
saloon salun
libra liβɾa
libra liβɾa
semifinal semifinal
cocodrilo kokoðɾilo
slip eslip
pugna puɣna
anaconda anakonda
nerd neɾð
chupacabras ʧupakaβɾas
fenestra fenestɾa
coyote koʝote
lagarto laɣaɾto
curry kuri
libido liβiðo
smog ezmoɣ
ny ni
eles eles
plan plan
anal anal
trust tɾast
topo topo
debate deβate
veto beto
salud saluð
mexicano mexikano
cabra kaβɾa
verme beɾme
pong pimpon
fuga fuɣa
auto awto
auto awto
arma aɾma
corporal koɾpoɾal
speaker spikeɾ
ros ros
ros ros
papa papa
papa papa
papa papa
rebaja reβaxa
rana rana
vermes beɾmes
lady lejði
mano mano
mano mano
local lokal
volantes bolantes
correr koreɾ
rosa rosa
canvas kambas
dandy dandi
pluma pluma
corda koɾða
ton ton
comer komeɾ
cantar kantaɾ
dea dea
nalga nalɣa
espíritu espiɾitu
pero peɾo
mango maŋɡo
mango maŋɡo
canon kanon
luna luna
natura natuɾa
librería liβɾeɾia
acumen akumen
gel xel
lago laɣo
elefante elefante
querer keɾeɾ
portal poɾtal
phishing fiʃin
nuca nuka
famoso famoso
final final
final final
lid lið
diagonal djaɣonal
ritmo riðmo
ticket tiket
olio oljo
affair afeɾ
historia istoɾja
alma alma
africano afɾikano
mongol moŋɡol
mongol moŋɡol
remo remo
biblioteca biβljoteka
materialismo mateɾjalizmo
largo laɾɣo
largo laɾɣo
tapioca tapjoka
crack kɾak
crack kɾak
nos nos
pea pea
pera peɾa
actual aɣtwal
pays pajs
pipis pipis
gris ɡɾis
santo santo
lobo loβo
hangar aŋɡaɾ
araña aɾaɲa
meja mexa
materia mateɾja
peluche peluʧe
pidgin piðxin
oca oka
oca oka
tilde til̪de
agenda axenda
teenager tinejʝeɾ
heterosexual eteɾoseɣswal
pedo peðo
cursor kuɾsoɾ
top top
ajar axaɾ
chip ʧip
buffet bufet
escape eskape
snack znak
anglo aŋɡlo
anglo aŋɡlo
abu aβu
anosmia anozmja
lira liɾa
lira liɾa
trap tɾap
blog bloɣ
sketch skeʧ
inning inin
alias aljas
flamenco flameŋko
flamenco flameŋko
flamenco flameŋko
soul sowl
amateur amateɾ
cornucopia koɾnukopja
niche niʧe
ante ante
softball sovðβol
hobbit xoβit
septum seβtum
alumna alumna
noruego noɾweɣo
noruego noɾweɣo
variable baɾjaβle
vela bela
vela bela
rival riβal
GPS xepese
manager manaʝeɾ
gulag ɡulaɣ
ayo aʝo
ibón iβon
baca baka
baca baka
hostel ostel
escritor eskɾitoɾ
níquel nikel
canguro kaŋɡuɾo
canguro kaŋɡuɾo
LSD elezðe
mayúscula maʝuskula
tostado ˌpan tostaðo
caviar kaβjaɾ
ensayo ensaʝo
meme meme
fronte fɾonte
descubrimiento deskuβɾimjento
ale ejl
minúscula minuskula
trabajo tɾaβaxo
apa apa
film film
gravy ɡɾejβi
coda koða
vino bino
madrileño maðɾileɲo
sílaba silaβa
hotel otel
cacao kakao
serial seɾjal
punto punto
gasolina ɡasolina
shawarma ʃawaɾma
giros xiɾos
bisexual biseɣswal
uni uni
bob boβ
parsec paɾsek
loma loma
quinto kinto
step step
anda anda
kibi kiβi
carta kaɾta
bruschetta bɾusketa
andar andaɾ
tema tema
memoria memoɾja
olla oʝa
dachshund daxsxunt
tesoro tesoɾo
lumi lumi
vera beɾa
vera beɾa
nano nano
nono nono
runner raneɾ
whisky wiski
bistro bistɾo
peta peta
duda duða
dan dan
coma koma
coma koma
coma koma
cowboy kawβoj
dos dos
palazzo palatso
pagamento paɣamento
marimba maɾimba
profeta pɾofeta
tornados toɾnaðos
yuki ʝuki
polaco polako
polaco polako
sustantivo sustantiβo
cadenas kaðenas
kebab keβaβ
pasto pasto
pasto pasto
pavimento paβimento
fideo fiðeo
dedo deðo
ostinato ostinato
cupido kupiðo
lord loɾð
bypass bajpas
fresa fɾesa
fresa fɾesa
single siŋɡle
single siŋɡle
pulga pulɣa
adenitis aðenitis
banca baŋka
banca baŋka
abuso aβuso
ocarina okaɾina
ocho oʧo
substantivo sustantiβo
padre paðɾe
nueve nweβe
ablativo aβlatiβo
arco aɾko
hijos ixos
fame fame
domo domo
hija ixa
cuatro kwatɾo
palíndromo palindɾomo
aeroplano aeɾoplano
coach koʧ
hijo ixo
palabra palaβɾa
filial filjal
filial filjal
tsunami sunami
agricultura aɣɾikul̪tuɾa
tornado toɾnaðo
caos kaos
pianissimo pjanisimo
chaqueta ʧaketa
chaqueta ʧaketa
radical raðikal
compartimiento kompaɾtimjento
toga toɣa
toga toɣa
gato ɡato
gato ɡato
gato ɡato
crescendo kɾeʃenˌdo} | {es pɾ
clave klaβe
emperador empeɾaðoɾ
rubia ruβja
bonus bonus
chambre ʧambɾe
sobre soβɾe
albergo alβeɾɣo
tierra tjera
novel noβel
húngaro uŋɡaɾo
húngaro uŋɡaɾo
reboot riβut
che ʧe
che ʧe
mesa mesa
cámara kamaɾa
cámara kamaɾa
catalán katalan
catalán katalan
albatros alβatɾos
guanto ɡwanto
catapulta katapul̪ta
avellano aβeʝano
latine latine
cantor kantoɾ
email imejl
pro pɾo
pro pɾo
segundo seɣundo
chart ʧaɾt
adulto aðul̪to
gente xente
vale bale
golem ɡolem
soprano sopɾano
soprano sopɾano
gata ɡata
senior senjoɾ
agro aɣɾo
adagio aðaxjo
adagio aðaxjo
media meðja
kit kit
sampi sampi
pasta pasta
performer peɾfoɾmeɾ
flan flan
muñeca muɲeka
match maʧ
jade xaðe
origami oɾiɣami
moral moɾal
moral moɾal
monas monas
fajita faxita
lab laβ
abates aβates
abad aβað
pirata piɾata
húngara uŋɡaɾa
alto al̪to
alto al̪to
ego eɣo
abra aβɾa
magnate maɣnate
tenor tenoɾ
default defol̪t
albino alβino
coro koɾo
falafel falafel
pancreatitis paŋkɾeatitis
tour tuɾ
metro metɾo
metro metɾo
nirvana niɾβana
poro poɾo
mono mono
bacon bejkon
lista lista
porta poɾta
ira iɾa
nauta nawta
hooligan xuliɣan
pelo pelo
omelet omelet
byte bajt
ejemplo exemplo
abierto aβjeɾto
royal roʝal
hardcore xaɾkoɾ
prion pɾjon
hormiga oɾmiɣa
humano ˌseɾ umano
teacher tiʧeɾ
fax faɣs
clan klan
alba alβa
loa loa
año aɲo
tumor tumoɾ
ayuntamiento aʝuntamjento
tora toɾa
mona mona
mona mona
mona mona
data data
menú menu
web weβ
avena aβena
tren tɾen
corpus aˌβeas koɾpus
transversal tɾanzβeɾsal
aviso aβiso
performance peɾfoɾmans
rey rej
idiota iðjota
quite kite
fin fin
dossier dosjeɾ
lis lis
droga dɾoɣa
culo kulo
aire ajɾe
aire ajɾe
geek ɡik
nome nome
auriga awɾiɣa
maestro maestɾo
pack pak
mnemotécnica mnemoteɣnika
mates mates
mates mates
caverna kaβeɾna
personal peɾsonal
personal peɾsonal
mes mes
paste paste
brie bɾi
vagina baxina
morgue moɾɣe
ave aβe
ave aβe
japonés xapones
japonés xapones
tata tata
tata tata
tata tata
monitor monitoɾ
monitor monitoɾ
pique pike
una una
latín latin
corno koɾno
corno koɾno
hora oɾa
hermano eɾmano
joystick ʧojstik
langosta laŋɡosta
taxi taɣsi
interred intereð
clown klon
jazz ʝas
sauna sawna
silo silo
veda beða
bulldog bul̪doɣ
chinchilla ʧinʲʧiʝa
par paɾ
par paɾ
nutria nutɾja
val bal
enigma eniɣma
cappuccino kapuʧino
virus biɾus
des des
noodle nuðel
pes pes
sentir sentiɾ
bilabial bilaβjal
pastoral pastoɾal
lámina lamina
bolsillo bolsiʝo
marsupial maɾsupjal
like lajk
brownie bɾawni
bolso bolso
bro bɾo
pulgar pulɣaɾ
primate pɾimate
snorkel eznoɾkel
espinilla espiniʝa
bahía baia
mar maɾ
paca paka
paca paka
paca paka
costa kosta
costa kosta
touchdown taʧðaun
ala ala
ala ala
kickboxing kiɣβoɣsin
pinta pinta
pinta pinta
favor faβoɾ
porco poɾko
blogger bloɣeɾ
tifón tifon
labiodental laβjoðental
guagua ɡwaɣwa
guagua ɡwaɣwa
despertador despeɾtaðoɾ
tabor taβoɾ
integral inteɣɾal
puerta pweɾta
máscara maskaɾa
tubo tuβo
yo ʝo
disco disko
disco disko
puente pwente
ritual ritwal
loba loβa
wey wej
ojo oxo
saga saɣa
moneda moneða
madre maðɾe
seco seko
jalapeño xalapeɲo
golf ɡolf
abogado aβoɣaðo
dictador diɣtaðoɾ
habanero aβaneɾo
habanero aβaneɾo
pesado pesaðo
vara baɾa
cuchilla kuʧiʝa
pote pote
misa misa
palatal palatal
cave kaβe
hogar oɣaɾ
cuchillo kuʧiʝo
twist twist
chimenea ʧimenea
castillo kastiʝo
normal noɾmal
pitillo pitiʝo
popote popote
gema xema
alar alaɾ
fantasma fantazma
mat mat
mosca moska
foyer fwaje
desastre desastɾe
terror teroɾ
cultivar kul̪tiβaɾ
mancala maŋkala
gitano xitano
ninja niɲʝa
feeling filin
cornada koɾnaða
aurora awɾoɾa
tonto tonto
visor bisoɾ
rojo roxo
rojo roxo
fresco fɾesko
geta ɡeta
geta xeta
editor eðitoɾ
prosa pɾosa
rickshaw riɣʃaw
col kol
wrap rap
loro loɾo
divisa diβisa
underground andeɾɣɾaund
autor awtoɾ
rumba rumba
ñandú ɲandu
enteritis enteɾitis
saltamontes sal̪tamontes
gordo ɡoɾðo
clima klima
temporal tempoɾal
ion ʝon
sacapuntas ˌsakapuntas
parabrisas paɾaβɾisas
res res
res res
pampa pampa
pampa pampa
gloria ɡloɾja
fusil fusil
anteojos anteoxos
anteojos anteoxos
serpiente seɾpjente
laya laʝa
brisa bɾisa
enano enano
espada espaða
espada espaða
target taɾɣet
quark kwaɾk
hacker xakeɾ
pus pus
dingo diŋɡo
blackout blakawt
argentinidad aɾxentiniðað
pela pela
mantra mantɾa
quesillo kesiʝo
mamba mamba
pala pala
stress estɾes
relax relaɣs
queso keso
adware aðweɾ
spyware spajweɾ
lego leɣo
funk faŋk
distrito distɾito
delivery deliβeɾi
resort resoɾt
tala tala
tala tala
tala tala
material mateɾjal
punta punta
cannabis kannaβis
malaria malaɾja
rap rap
sino sino
nana nana
mosquitero moskiteɾo
geisha ɡejʃa
nasal nasal
yen ʝen
marketing maɾketin
encuesta eŋkwesta
guano ɡwano
sinónimo sinonimo
pastor pastoɾ
limón limon
bonsai bonsaj
freno fɾeno
cumpleaños kumpleaɲos
gola ɡola
garganta ɡaɾɣanta
yogurt ʝoɣuɾt
tasca taska
luxemburgués luɣsembuɾɣes
luxemburgués luɣsembuɾɣes
panel panel
primera pɾimeɾa
kuna kuna
semen semen
antimonio antimonjo
porteño poɾteɲo
anhedonia aneðonja
bonaerense bonaeɾense
prior pɾjoɾ
superior supeɾjoɾ
lateral lateɾal
virtuoso biɾtwoso
virtuoso biɾtwoso
amir amiɾ
corgi koɾɣi
agave aɣaβe
polo polo
polo polo
polo polo
polo polo
hombre ombɾe
bates bates
arroyo aroʝo
argot aɾɣot
hall xol
blunt blant
alga alɣa
amino amino
bonito bonito
balsa balsa
triple tɾiple
imam imam
antes antes
rugby raɣβi
paro paɾo
hubris uβɾis
aorta aoɾta
eros eɾos
augur awɣuɾ
cole kole
leones leones
adobe aðoβe
capo kapo
pilar pilaɾ
chic ʃik
lima lima
lima lima
coreano koɾeano
coreano koɾeano
machos maʧos
faro faɾo
dote dote
galena ɡalena
galena ɡalena
palier paljeɾ
bolo bolo
bolo bolo
bolo bolo
bolo bolo
amo amo
erg eɾɣ
popper popeɾ
haiku ajku
oboe oβoe
lavabo laβaβo
pueblo pweβlo
lar laɾ
playa plaʝa
bode boðe
coca koka
coca koka
coca koka
bate bate
bate bate
mucosa mukosa
canto kanto
canto kanto
pleura plewɾa
hub xaβ
puro puɾo
orate oɾate
uremia uɾemja
rondo rondo
boa boa
rotor rotoɾ
fray fɾaj
junta xunta
ibis iβis
magma maɣma
mod moð
mod moð
cache kaʧe
widget wiʝet
mambo mambo
serum seɾum
junco xuŋko
junco xuŋko
pila pila
pila pila
wadi waði
tapir tapiɾ
romano romano
tibia tiβja
samba samba
salina salina
sima sima
tic tik
tensor tensoɾ
mica mika
calibre kaliβɾe
umbra umbɾa
umbra umbɾa
mir miɾ
ere eɾe
nave naβe
labial laβjal
iris iɾis
dictum diɣtum
gala ɡala
soma soma
soma soma
corona koɾona
corona koɾona
macho maʧo
macho maʧo
macho maʧo
chute ʧute
chute ʧute
clamor klamoɾ
tas tas
asexual aseɣswal
fauna fawna
glamour ɡlamuɾ
hater ejteɾ
diabetes djaβetes
pica pika
pica pika
meiosis mejosis
chef ʧef
melodrama meloðɾama
embargo embaɾɣo
glitter ɡliteɾ
relieve reljeβe
rapper rapeɾ
mall mol
tapa tapa
rave rejβ
stent stent
notebook noðβuk
siesta sjesta
raid rajð
rally rali
suite swite
vestal bestal
saliva saliβa
scout eskawt
verbena beɾβena
extra eɣstɾa
amnesia amnesja
operativo sisˌtema opeɾatiβo
valor baloɾ
capote kapote
abigeato aβixeato
copyleft kopileft
adularia aðulaɾja
bruja bɾuxa
punk puŋk
mantilla mantiʝa
anomia anomja
ulna ulna
babi baβi
colonia kolonja
colonia kolonja
offside ofsajð
amárico amaɾiko
skate eskejt
auricular awɾikulaɾ
macaco makako
track tɾak
hipocresía ipokɾesia
repente repente
quiche kiʃ
iguana iɣwana
vav baβ
motel motel
sepultura sepul̪tuɾa
lighter lajteɾ
dios djos
progenitor pɾoxenitoɾ
pipi pipi
ansible ansiβle
benefactor benefaɣtoɾ
harina aɾina
supernova supeɾnoβa
laguna laɣuna
slap eslap
funda funda
nido niðo
adelantado aðelantaðo
clip klip
diablo djaβlo
cadáver kaðaβeɾ
piccolo pikolo
ratón raton
hueco w̝eko
squat skwat
borra bora
mato mato
mujer muxeɾ
camión kamjon
cuadrado kwaðɾaðo
cholo ʧolo
mineral mineɾal
blues blus
pivot piβot
cookie kuki
nova noβa
adjetivo aðxetiβo
boliviano boliβjano
gluon ɡlwon
trigo tɾiɣo
marinero maɾineɾo
neutrino newtɾino
ente ente
mente mente
bingo biŋɡo
surf suɾf
gospel ɡospel
espanglés espaŋɡles
onda onda
karaoke kaɾaoke
biker bajkeɾ
inseparable insepaɾaβle
calendario kalendaɾjo
vietnamita bjeðnamita
vietnamita bjeðnamita
blanco blaŋko
honor onoɾ
sacro sakɾo
trip tɾip
shiitake ʃitake
brunch bɾanʲʧ
logo loɣo
antónimo antonimo
poli poli
poli poli
oda oða
pedestal peðestal
noes noes
firma fiɾma
overol oβeɾol
ley lej
nostalgia nostalxja
putsch puʧ
shul ʃul
ketchup keʧup
gamba ɡamba
gamba ɡamba
shampoo ʃampu
popular populaɾ
reina rejna
tromba tɾomba
tío tio
dildo dil̪do
tomboy tomboj
alfabeto alfaβeto
variante baɾjante
éclair ekleɾ
yoruba ʝoɾuβa
yoruba ʝoɾuβa
fondant fondant
río rio
factorial faɣtoɾjal
castellano kasteʝano
castellano kasteʝano
castellano kasteʝano
castellano kasteʝano
director diɾeɣtoɾ
locus lokus
muro muɾo
rookie ruki
cojón koxon
causa kawsa
causa kawsa
cana kana
cana kana
cana kana
cloche kloʧe
inventor imbentoɾ
contable kontaβle
enero eneɾo
isa isa
vaporetto bapoɾeto
ratio ratjo
salame salame
salame salame
comida komiða
lunes lunes
apartheid apaɾxejð
martes maɾtes
tip tip
torpedo toɾpeðo
salami salami
sueco sweko
sueco sweko
brujo bɾuxo
agosto aɣosto
mayo maʝo
hecho eʧo
pesto pesto
jeans ʝins
sushi suʃi
abril aβɾil
dealer dileɾ
pinball pimbal
psoriasis soɾjasis
apóstrofo apostɾofo
apóstrofe apostɾofe
inspector inspeɣtoɾ
persona peɾsona
metate metate
ferry feri
coco koko
coco koko
coco koko
pony poni
fi fi
iraquí iɾaki
pito pito
descanso deskanso
dermis deɾmis
charter ʧaɾteɾ
cargo kaɾɣo
cargo kaɾɣo
albedo alβeðo
abreviatura aβɾeβjatuɾa
sala sala
harissa xaɾisa
claymore klejmoɾ
ladino laðino
ladino laðino
aroma aɾoma
oriental oɾjental
telefonista telefonista
svastika zβastika
rector reɣtoɾ
spa espa
horror oroɾ
hebreo eβɾeo
hebreo eβɾeo
dalle daʝe
website weβsajt
stream stɾim
cristal kɾistal
begonia beɣonja
caballo kaβaʝo
bobo boβo
fara faɾa
burka buɾka
anemone anemone
particular paɾtikulaɾ
viola bjola
backgammon baɣɣamon
papers pejpeɾs
fashion faʃjon
dorsal doɾsal
frontal fɾontal
tango taŋɡo
basta basta
petunia petunja
lintel lintel
cul-de-sac ˌkul̪ ˌde sak
familiar familjaɾ
arena aɾena
sitcom siðkom
megapixel meɣapiɣsel
carnal kaɾnal
mangle maŋɡle
burrito burito
plus plus
foxtrot foɣstɾot
motor motoɾ
devenir deβeniɾ
miles miles
comprador kompɾaðoɾ
sierra sjera
salvia salβja
pixel piɣsel
numen numen
mil mil
patio patjo
pagoda paɣoða
stupa estupa
saudade sawðaðe
chipotle ʧipotle
decreto dekɾeto
este este
barca baɾka
container kontejneɾ
villa biʝa
baobab baoβaβ
orbital oɾβital
editorial eðitoɾjal
editorial eðitoɾjal
enema enema
retina retina
futuro futuɾo
total total
status estatus
outfit awðfit
sarcoma saɾkoma
barra bara
halitosis alitosis
necrosis nekɾosis
miss mis
anorexia anoɾeɣsja
osteoporosis osteopoɾosis
gula ɡula
logos loɣos
melanoma melanoma
paprika papɾika
penal penal
aura awɾa
aura awɾa
epidermis epiðeɾmis
praxis pɾaɣsis
edema eðema
cojones koxones
margarita maɾɣaɾita
margarita maɾɣaɾita
aerosol aeɾosol
dado daðo
chakra ʧakɾa
nova ˌbosa noβa
mandala mandala
areno aɾeno
maraca maɾaka
climax klimaɣs
bungalow buŋɡalo
mentor mentoɾ
quinoa kinoa
caldera kal̪deɾa
bismuto bizmuto
boato boato
dogma doɣma
gaucho ɡawʧo
veranda beɾanda
alveolar alβeolaɾ
barbo baɾβo
diploma diploma
orca oɾka
trauma tɾawma
paranoia paɾanoja
peyote peʝote
blonda blonda
