abactor ɐbɐktoɾ
testa tɛʃtɐ
gnu ɡnu
madeira mɐdɐjɾɐ
madeira mɐdɐjɾɐ
tomate tumatɨ
coelho kwɐ(j)ʎu
ovelha ɔvɐ(j)ʎɐ
zoo zwu
sigma siɡmɐ
psi psi
psi psi
destino dɨʃtinu
matrix mɐtɾikʃ
ampère ɐ̃pɛɾɨ
siemens sjemɐ̃j̃ʃ
ampere ɐ̃pɛɾɨ
hertz ɛɾt͡ʃ
sail sɐil
joule ʒulɨ
ohm õ
pascal pɐʃkal
coulomb kulõ
sievert sivɐɾt
kelvin kɛlvin
lux luks
weber wɛbɛɾ
zabaione zabajɔnɨ
negro neɡɾu
ship ʃip
pop pɔp
judo ʒudu
knockout nɔkawt
gabardine ɡɐbɐɾdinɨ
tau taw
fatwa fatwɐ
grid ɡɾid
miasma mjaʒmɐ
hamburger ɐ̃buɾɡɛɾ
computador kõputɐdoɾ
penumbra pɨnũbɾɐ
ordenador ɔɾdɨnɐdoɾ
aprosexia ɐpɾɔzɛksiɐ
wasabi wasabi
brioche bɾiɔʃɨ
estado (i)ʃtadu
altar altaɾ
volt vɔlt
alopecia ɐlupɨsiɐ
chi ʃi
chi ʃi
mate matɨ
drone dɾɔnɨ
ido idu
cheque ʃɛkɨ
achiote ɐʃjɔtɨ
flop ˌflipflɔp
tzar zaɾ
forte fɔɾtɨ
demo demu
demo dɛmu
ADN ɐˌdeenɨ
perfume pɨɾfumɨ
czar kzaɾ
flamingo flɐmĩɡu
metanoia mɨtɐnɔjɐ
agasalho ɐɡɐzaʎu
rock ʁɔkɨ
poltergeist poltɨɾɡajʃt
cobra kɔbɾɐ
cobra kɔbɾɐ
cobra kɔbɾɐ
manual mɐnwal
baba babɐ
propaganda pɾupɐɡɐ̃dɐ
mote mɔtɨ
tsar zaɾ
drama dɾɐmɐ
atlas atlɐʃ
festival fɨʃtival
pause pawzɨ
magazine mɐɡɐzinɨ
bar baɾ
bar baɾ
harmonia ɐɾmuniɐ
ursa uɾsɐ
secreto sɨkɾɛtu
tuna tunɐ
pope pɔpɨ
real ʁɨal
real ʁɨal
real ʁɨal
real ʁɨal
corpus kɔɾpuʃ
poeta pwɛtɐ
nebulosa nɨbulɔzɐ
saber sɐbeɾ
ex ɐjʃ
primavera pɾimɐvɛɾɐ
tzarina zɐɾinɐ
czarina zɐɾinɐ
poker pɔkɛɾ
hecatombe ɛkɐtõbɨ
major mɐʒɔɾ
major mɐʒɔɾ
vespa veʃpɐ
vespa veʃpɐ
tsarina zɐɾinɐ
timbre tĩbɾɨ
vendo vẽdu
net nɛtɨ
vinco vĩku
torso toɾsu
hippie ipi
serva sɛɾvɐ
ser seɾ
lanterna lɐ̃tɛɾnɐ
lanterna lɐ̃tɛɾnɐ
sumo sumu
sumo sumu
sumo sumu
si si
placebo plɐsebu
alce alsɨ
italiano itɐljɐnu
italiano itɐljɐnu
cafeteria kɐfɨtɨɾiɐ
libra libɾɐ
semifinal sɨˌmifinal
anaconda ɐnɐkõdɐ
nerd nɐɾdɨ
serra sɛʁɐ
fenestra fɨnɛʃtɾɐ
lagarto lɐɡaɾtu
curry kɐɾi
schwa ʃwa
libido libidu
smog smɔɡi
envelope ẽvɨlɔpɨ
porto poɾtu
porto poɾtu
vós vɔʃ
sedan sɨdan
anal ɐnal
anal ɐnal
morna mɔɾnɐ
falar fɐlaɾ
debate dɨbatɨ
veto vɛtu
via viɐ
via viɐ
mexicano mɨksikɐnu
nós nɔʃ
cabra kabɾɐ
cabra kabɾɐ
rego ʁeɡu
verme vɛɾmɨ
fuga fuɡɐ
fuga fuɡɐ
auto awtu
auto awtu
arma aɾmɐ
corporal kuɾpuɾal
zona zonɐ
sabre sabɾɨ
mano mɐnu
local lukal
ladro ladɾu
rosa ʁɔzɐ
rosa ʁɔzɐ
canvas kɐ̃vɐʃ
trio tɾiu
pluma plumɐ
corda kɔɾdɐ
bacalhau bɐkɐʎaw
comer kumeɾ
cantar kɐ̃taɾ
tom tõ
esse ɛsɨ
natura nɐtuɾɐ
suis sujʃ
gel ʒɛl
lago laɡu
elefante ilɨfɐ̃tɨ
querer kɨɾeɾ
portal puɾtal
phishing fiʃĩɡ
movimento muvimẽtu
final final
final final
tangram tɐ̃ɡɾɐ̃w̃
diagonal diɐɡunal
ritmo ʁitmu
bacio bɐsiu
alma almɐ
africano ɐfɾikɐnu
mongol mõɡɔl
remo ʁɛmu
biblioteca bibliutɛkɐ
materialismo mɐtɨɾjɐliʒmu
largo laɾɡu
largo laɾɡu
tapioca tɐpjɔkɐ
janeiro ʒɐnɐjɾu
thread tɾɛdi
crack kɾakɨ
neve nɛvɨ
sono sonu
som sõ
fevereiro fɨvɨɾɐjɾu
observatório ɔbsɨɾvɐtɔɾju
raro ʁaɾu
gris ɡɾiʃ
joker d͡ʒo(w)kɛɾ
março maɾsu
haste aʃtɨ
pelúcia pɨlusjɐ
fio fiu
fio fiu
fio fiu
lobo lobu
lobo lɔbu
hangar ɐ̃ɡaɾ
peluche pɨluʃɨ
dom dõ
pidgin pid͡ʒin
pointer pɔjntɛɾ
worm woɾmɨ
agenda ɐʒẽdɐ
cursor kuɾsoɾ
uracil uɾɐsil
carte kaɾtɨ
top tɔpɨ
chip ʃipɨ
escape (i)ʃkapɨ
ancestral ɐ̃sɨʃtɾal
anosmia ɐnuʒmiɐ
blog blɔɡ
urso uɾsu
gene ʒɛnɨ
mau maw
CPU se pe u
flamenco flɐmẽku
giga ʒiɡɐ
giga ʒiɡɐ
politburo pɔlitbuɾu
hobbit ɔbitɨ
vela vɛlɐ
vela vɛlɐ
bantu bɐ̃tu
bantu bɐ̃tu
rival ʁival
executor izɨkutoɾ
gulag ɡulɐɡi
fígado fiɡɐdu
vitamina vitɐminɐ
semibreve sɨmibɾɛvɨ
root ʁut
hostel ɔʃtɛl
escritor (i)ʃkɾitoɾ
ski ski
níquel nikɛl
português puɾtuɡeʃ
português puɾtuɡeʃ
vento vẽtu
imperial ĩpɨɾjal
caviar kavjaɾ
meme mɛmɨ
fronte fɾõtɨ
fronte fɾõtɨ
capacitor kɐpɐsitoɾ
minúscula minuʃkulɐ
sestra sɛʃtɾɐ
hectare ɛktaɾɨ
sopa kuʎɛɾ dɨ sopɐ
sobremesa kuʎɛɾ dɨ subɾɨmezɐ
café kuʎɛɾ dɨ kɐfɛ
sílaba silɐbɐ
hotel ɔtɛl
sova sɔvɐ
quarto kwaɾtu
gasolina ɡɐzulinɐ
shawarma ʃawaɾmɐ
pane pɐnɨ
giros ʒiɾuʃ
colher kuʎɛɾ
paparazzi pɐpɐɾazi
paparazzi pɐpɐɾazi
carta kaɾtɐ
crepe kɾɛpɨ
andar ɐ̃daɾ
zum zũ
baliza bɐlizɐ
baliza bɐlizɐ
tema temɐ
sebe sɛbɨ
dachshund daksũdɨ
beagle biɡɐl
nono nonu
nono nonu
whisky wiski
zodíaco zudiɐku
dinheiro diɲɐjɾu
arqueiro ɐɾkɐjɾu
coma komɐ
coma komɐ
coma komɐ
cowboy kawbɔj
malina mɐlinɐ
pagamento pɐɡɐmẽtu
marimba mɐɾĩbɐ
rutabaga ʁutɐbaɡɐ
hiragana iɾɐɡɐnɐ
bum bũ
profeta pɾufɛtɐ
profeta pɾufɛtɐ
polaco pulaku
polaco pulaku
kebab kɛbabɨ
gamer ɡɐjmɐɾ
pasto paʃtu
pavimento pɐvimẽtu
dedo dedu
appoggiatura ɐpuɡʒjɐtuɾɐ
pulga pulɡɐ
abuso ɐbuzu
ocarina ɔkɐɾinɐ
umami umɐmi
diminuendo diminwẽdu
substantivo subʃtɐ̃tivu
padre padɾɨ
arco aɾku
domo domu
palíndromo pɐlĩdɾumu
contralto kõtɾaltu
aeroplano ɐˌɛɾɔplɐnu
coach ko(w)t͡ʃ
vicissitude visisitudɨ
maçã mɐsɐ̃
filial filjal
tsunami tsunɐmi
tornado tuɾnadu
caos kauʃ
staccato stakatɔ
vez veʃ
radical ʁɐdikal
radical ʁɐdikal
toga tɔɡɐ
crescendo kɾɨʃsẽdu
sub subɨ
clave klavɨ
emperador ẽpɨɾɐdoɾ
hexadecimal ˌɛɡzɐdɛsimal
madame madɐmɨ
câmara kɐmɐɾɐ
câmara kɐmɐɾɐ
dental dẽtal
dental dẽtal
húngaro ũɡɐɾu
reboot ʁɨbut
catapulta kɐtɐpultɐ
decimal dɛsimal
pogrom ˌpɔɡɾõ
baud bawd
cantor kɐ̃toɾ
segundo sɨɡũdu
adulto ɐdultu
pareidolia pɐɾɐjduliɐ
porno pɔɾnu
gente ʒẽtɨ
vale valɨ
vale valɨ
soprano supɾɐnu
soprano supɾɐnu
geometria ʒjumɨtɾiɐ
agro aɡɾu
placenta plɐsẽtɐ
media mɨdiɐ
solitude sulitudɨ
silva silvɐ
kit kitɨ
elixir ɛliʃiɾ
pasta paʃtɐ
abacate ɐbɐkatɨ
zap zap
abacaxi ɐbɐkɐʃi
jade ʒadɨ
terra tɛʁɐ
seis sɐjʃ
pão pɐ̃w̃
moral muɾal
moral muɾal
limousine limuzinɨ
húngara ũɡɐɾɐ
rancor ʁɐ̃koɾ
sobrinho subɾiɲu
ego ɛɡu
tenor tɨnoɾ
default difɔlt
albino albinu
chá ʃa
ergo ɛɾɡu
tour tuɾ
nirvana niɾvɐnɐ
caixa kajʃɐ
caixa kajʃɐ
caixa kajʃɐ
mel mɛl
mono monu
bacon bɐjkɔn
dreadlocks ˌdɾɛdlɔkʃ
bravo bɾavu
lista liʃtɐ
porta pɔɾtɐ
dread dɾɛd
nauta nawtɐ
hooligan uliɡɐn
história iʃtɔɾjɐ
parkour paɾkuɾ
breve bɾɛvɨ
breve bɾɛvɨ
astronomia ɐʃtɾunumiɐ
astrologia ɐʃtɾuluʒiɐ
humano seɾ umɐnu
fax faks
LAN lan
alba albɐ
loa loɐ
tumor tumoɾ
mona monɐ
mona monɐ
ode ɔdɨ
jus ʒuʃ
posse pɔsɨ
ou o(w)
web wɛbɨ
fome fɔmɨ
odor ɔdoɾ
transversal tɾɐ̃ʒvɨɾsal
transversal tɾɐ̃ʒvɨɾsal
cognome kuɡnomɨ
glace ɡlasɨ
checkup ʃɨkapɨ
maternal mɐtɨɾnal
aviso ɐvizu
performance pɨɾfɔɾmɐ̃sɨ
idiota idjɔtɐ
block blɔkɨ
professor pɾufɨsoɾ
droga dɾɔɡɐ
tio tiu
diocese djusɛzɨ
geek ɡikɨ
nome nomɨ
maestro mɐɛʃtɾu
trema tɾemɐ
trans tɾɐ̃ʃ
caverna kɐvɛɾnɐ
personal pɨɾsunal
brie bɾi
camundongo kɐmũdõɡu
vagina vɐʒinɐ
morgue mɔɾɡɨ
dobre dɔbɾɨ
ave avɨ
fotografia futuɡɾɐfiɐ
monitor munitoɾ
monitor munitoɾ
pique pikɨ
pique pikɨ
avalanche ɐvɐlɐ̃ʃɨ
tia tiɐ
corno koɾnu
corno kɔɾnu
hermano ɛɾmɐnu
brada bɾɐdɐ
fez fɛʃ
jazz ʒas
reis ʁɐjʃ
sauna sawnɐ
bulldog buldɔɡi
par paɾ
clava klavɐ
val val
pais pajʃ
merda mɛɾdɐ
merda mɛɾdɐ
enigma iniɡiwmɐ
cappuccino kɐpuʃinu
orc ɔɾkɨ
bandana bɐ̃dɐnɐ
jugular ʒuɡulaɾ
bilabial bilɐbjal
pastoral pɐʃtuɾal
clone klɔnɨ
marsupial mɐɾsupjal
brownie bɾawni
bolso bolsu
bro bɾo(w)
cheat ʃitɨ
zombie zõbi
mar maɾ
catena kɐtenɐ
costa kɔʃtɐ
kickboxing kikbɔksĩɡ
favor fɐvoɾ
porco poɾku
camper kɐ̃pɛɾ
chorus kɔɾuʃ
despertador dɨʃpɨɾtɐdoɾ
integral ĩtɨɡɾal
máscara maʃkɐɾɐ
tubo tubu
frame fɾɐjmɨ
xadrez tɐbulɐjɾu dɨ ʃɐdɾeʃ
disco diʃku
ritual ʁitwal
dose dɔzɨ
acinesia ɐsinɨziɐ
loba lobɐ
olho oʎu
saga saɡɐ
cereal sɨɾjal
madre madɾɨ
jalapeño ʁɐlɐpɐ(j)ɲu
boxer bɔksɛɾ
racismo ʁasiʒmu
vara vaɾɐ
pote pɔtɨ
palatal pɐlɐtal
cave kavɨ
aba abɐ
WAN wan
twist twist
sorvete suɾvetɨ
gema ʒemɐ
acne aknɨ
fantasma fɐ̃taʒmɐ
mosca moʃkɐ
desastre dɨzaʃtɾɨ
terror tɨʁoɾ
moa moɐ
gangue ɡɐ̃ɡɨ
cultivar kultivaɾ
ok ɔkɐj
cornada kuɾnadɐ
lambada lɐ̃badɐ
velar vɨlaɾ
azul ɐzul
aurora awɾɔɾɐ
passional pɐsjunal
sangue sɐ̃ɡɨ
parcel pɐɾsɛl
fresco fɾeʃku
fresco fɾeʃku
editor iditoɾ
editor iditoɾ
grave ɡɾavɨ
divisa divizɐ
autor awtoɾ
autor awtoɾ
haver ɐveɾ
albariza albɐɾizɐ
gordo ɡoɾdu
kamikaze ˌkamikazɨ
clima klimɐ
temporal tẽpuɾal
temporal tẽpuɾal
tag taɡɨ
mortal muɾtal
espada (i)ʃpadɐ
quark kwaɾkɨ
quark kwaɾkɨ
style stajlɨ
hacker ɛkɐɾ
pus puʃ
pus puʃ
abugida ɐbuʒidɐ
leu lew
stress (i)ʃtɾɛsɨ
adware ɐdwaɾɨ
spyware spajwɛɾ
lego lɛɡu
funk fɐ̃kɨ
distrito dɨʃtɾitu
material mɐtɨɾjal
generalização ʒɨnɨɾɐlizɐsɐ̃w̃
virago viɾaɡu
lei lɐj
rap ʁɛp
sino sinu
sino sinu
alcatraz alkɐtɾaʃ
nana nɐnɐ
écran ɛkɾɐn
guru ɡuɾu
guru ɡuɾu
virtuosa viɾtwɔzɐ
lance lɐ̃sɨ
nasal nɐzal
nasal nɐzal
marijuana mɐɾiʒwɐnɐ
marketing maɾkɨtĩɡ
guano ɡwɐnu
pastor pɐʃtoɾ
bonsai bõsaj
garganta ɡɐɾɡɐ̃tɐ
tasca taʃkɐ
principal pɾĩsipal
prior pɾioɾ
superior supɨɾjoɾ
lateral lɐtɨɾal
lateral lɐtɨɾal
virtuoso viɾtwozu
virtuoso viɾtwozu
cena senɐ
agave ɐɡavɨ
cabana kɐbɐnɐ
argot aɾɡo
hall ɔlɨ
colza kolzɐ
alga alɡɐ
amino ɐminu
bonito bunitu
balsa balsɐ
beck bɛk
circular siɾkulaɾ
circular siɾkulaɾ
antes ɐ̃tɨʃ
blush blɐʃ
aorta ɐɔɾtɐ
adobe ɐdobɨ
clique klikɨ
clique klikɨ
pilar pilaɾ
loess lɔʃ
doge dɔʒɨ
lima limɐ
lima limɐ
coreano kuɾjɐnu
coreano kuɾjɐnu
dor doɾ
dote dɔtɨ
galena ɡɐlenɐ
amo ɐmu
lacuna lɐkunɐ
legume lɨɡumɨ
ribose ʁibɔzɨ
lavabo lɐvabu
lar laɾ
quasar kwazaɾ
bode bɔdɨ
pleura plewɾɐ
boa boɐ
boa boɐ
rotor ʁutoɾ
magma maɡmɐ
cache kaʃɨ
servo sɛɾvu
tapir tɐpiɾ
romano ʁumɐnu
torr tɔʁ
salina sɐlinɐ
tensor tẽsoɾ
blazer blɐjzɛɾ
areal ɐɾjal
calibre kɐlibɾɨ
nave navɨ
labial lɐbjal
sago saɡu
soma somɐ
soma somɐ
soma somɐ
corona kuɾonɐ
corona kuɾonɐ
macho maʃu
enlace ẽlasɨ
chute ʃutɨ
volta vɔltɐ
clamor klɐmoɾ
bluff blɐfɨ
fauna fawnɐ
glamour ɡlɐmuɾ
diabetes diɐbɛtɨʃ
diabetes diɐbɛtɨʃ
gaze ɡazɨ
elite ɛlitɨ
lictor liktoɾ
chef ʃɛf
melodrama mɛlɔdɾɐmɐ
embargo ẽbaɾɡu
recital ʁɨsital
predecessor pɾɨdɨsɨsoɾ
notebook ˌnowtɨbukɨ
saliva sɐlivɐ
verbena vɨɾbenɐ
extra ɐjʃtɾɐ
extra ɐjʃtɾɐ
operativo siʃtemɐ ɔpɨɾɐtivu
valor vɐloɾ
capote kɐpɔtɨ
server sɛɾvɛɾ
abigeato ɐbiʒjatu
diatribe diɐtɾibɨ
punk pɐ̃k
punk pɐ̃k
anomia ɐnumiɐ
ulna ulnɐ
site sajtɨ
amárico ɐmaɾiku
skate skɐjtɨ
zebu zɨbu
buzzword bɐzwoɾd
auricular awɾikulaɾ
macaco mɐkaku
macaco mɐkaku
fermata fɛɾmatɐ
adenose ɐdɨnɔzɨ
continental kõtinẽtal
repente ʁɨpẽtɨ
quiche kiʃɨ
iguana iɡwɐnɐ
gang ɡɐ̃ɡi
donut dɔnutɨ
megalomania ˌmɛɡɐlɔmɐniɐ
motel mɔtɛl
sepultura sɨpultuɾɐ
vau vaw
quantum kwɐ̃tũ
progenitor pɾuʒɨnitoɾ
pipi pipi
supernova ˌsupɛɾnɔvɐ
laguna lɐɡunɐ
adelantado ɐdɨlɐ̃tadu
cadáver kɐdavɛɾ
ferradura fɨʁɐduɾɐ
borra boʁɐ
paz paʃ
ametista ɐmɨtiʃtɐ
mineral minɨɾal
blues blus
iPod ajpɔd
cookie kuki
nova nɔvɐ
adjetivo ɐd͡ʒɛtivu
boliviano bulivjɐnu
interrobang ĩtɛʁubɐ̃ɡɨ
chutney ʃutnɐj
ponte põtɨ
trigo tɾiɡu
todo todu
neutrino newtɾinu
dente dẽtɨ
ente ẽtɨ
destra dɛʃtɾɐ
mente mẽtɨ
metacarpal ˌmɛtɐkɐɾpal
porre pɔʁɨ
furto fuɾtu
surf sɐɾfɨ
gospel ɡɔʃpɛl
quando kʷɐ̃du
karaoke kaɾaɔkɨ
vietnamita vjɛtnɐmitɐ
posto poʃtu
inverno ĩvɛɾnu
soror suɾoɾ
ide idɨ
melodia mɨludiɐ
brunch bɾɐ̃t͡ʃɨ
logo lɔɡɔ
piranha piɾɐɲɐ
deus dewʃ
shift ʃift
confetti kõfɛti
antónimo ɐ̃tɔnimu
atelier ɐtɨlje
pedestal pɨdɨʃtal
valo valu
firma fiɾmɐ
nostalgia nuʃtalʒiɐ
partner paɾtnɛɾ
creme kɾɛmɨ
ketchup kɛt͡ʃɐpɨ
shampoo ʃɐ̃po
qui ki
sashimi saʃimi
garde ɐˌvɐ̃ɡaɾdɨ
castelhano kɐʃtɨʎɐnu
popular pupulaɾ
popular pupulaɾ
dildo dildu
noob nub
alfabeto alfɐbɛtu
cheeseburger ʃiʒbuɾɡɛɾ
variante vɐɾjɐ̃tɨ
item itɐ̃j̃
fisting fiʃtĩɡ
avião ɐvjɐ̃w̃
água aɡwɐ
magnitude maɡnitudɨ
batismo batiʒmu
causa kawzɐ
cana kɐnɐ
cana kɐnɐ
cana kɐnɐ
débil dɛbil
inventor ĩvẽtoɾ
lingerie lɐ̃ʒɨɾi
salame sɐlɐmɨ
comida kumidɐ
torpedo tuɾpedu
sueco swɛku
fel fɛl
agosto ɐɡoʃtu
sushi suʃi
abril ɐbɾil
megatsunami ˌmɛɡɐtsunɐmi
apóstrofo ɐpɔʃtɾufu
apóstrofe ɐpɔʃtɾufɨ
ferry fɛʁi
zoologia zwuluʒiɐ
fi fi
silicone silikɔnɨ
bá ba
descanso dɨʃkɐ̃su
cargo kaɾɡu
concerto kõseɾtu
abreviatura ɐbɾɨvjɐtuɾɐ
prego pɾɛɡu
ladino lɐdinu
ladino lɐdinu
rum ʁũ
aroma ɐɾomɐ
grade ɡɾadɨ
telefonia tɨlɨfuniɐ
social susjal
castelo kɐʃtɛlu
oriental ɔɾjẽtal
telefonista tɨlɨfuniʃtɐ
vu dɛʒavu
spa spa
horror ɔʁoɾ
sul sul
élan ɛlɐn
cristal kɾiʃtal
bobo bobu
bandicoot bɐ̃dikutɨ
interface ˌĩtɛɾfasɨ
burka buɾkɐ
viola vjɔlɐ
trance tɾɐ̃sɨ
trance tɾɐ̃sɨ
dorsal dɔɾsal
frontal fɾõtal
lemming lemin
Delaware dɛlɐwɛɾ
lintel lĩtɛl
sac ˌkuldɨsak
familiar fɐmiljaɾ
sputnik sputnik
arena ɐɾenɐ
sitar sitaɾ
cone kɔnɨ
outdoor ˌawtdɔɾ
burrito buʁitu
burrito buʁitu
motor mutoɾ
mary blɐdi mɛɾi
servitude sɨɾvitudɨ
comprador kõpɾɐdoɾ
decesso dɨʃsɛsu
pixel piksɛl
admin admin
saudade sɐwdadɨ
