abada aβ̞að̞ɐ
africano afɾikɑnʊ
biblioteca biβ̞ljot̪ɛkɐ
neve nɛβ̞ɪ
sono s̺onʊ
pera peɾɐ
santo s̺an̪t̪ʊ
lobo loβ̞ʊ
constitución kons̺t̪it̪uθjoŋ
vela bɛlɐ
vela bɛlɐ
saio sajʊ
fígado fiɣ̞ɑð̞ʊ
vento ben̪t̪ʊ
fronte fɾon̪t̪ɪ
abella aβeʎa̝
paxaro paʃaɾʊ
paxaro paʃaɾʊ
hotel ɔt̪ɛɫ
punto puntʊ
gasolina ɡɑs̺ɔlinɐ
carta kɑɾt̪ɐ
andar an̪d̪aɾ
memoria mẽmɔɾjɐ
peta pɛtɐ
arqueiro aɾkei̯ɾʊ
profeta pɾofet̪ɐ
dedo d̪eð̞ʊ
faba faβ̞ɐ
pulga puɫɣ̞ɐ
padre pað̞ɾɪ
arco aɾkʊ
fame famɪ
aeroplano aeɾoplanʊ
palabra palaβ̞ɾɐ
chaqueta t͡ʃɑket̪ɐ
radical rað̞ikɑɫ
gato ɡɑt̪ʊ
húngaro uŋɡɑɾʊ
húngaro uŋɡɑɾʊ
mesa mesɐ
cámara kɑmaɾɐ
catalán kɑt̪alɑŋ
catalán kɑt̪alɑŋ
albatros ɑlβ̞at̪ɾos̺
adulto að̞ul̪t̪ʊ
vulgar bulɣaɾ
silva s̺ilβ̞ɐ
elixir ɛliksiɾ
pasta pastɐ
terra t̪ɛrɐ
pirata piɾat̪ɐ
alto altʊ
abra aβɾa̝
chá t͡ʃa
metro mɛt̪ɾʊ
metro mɛt̪ɾʊ
caixa kɑjʃɐ
mel mɛl
poro pɔɾʊ
mono mõnʊ
lista listɐ
porta pɔɾt̪ɐ
ira iɾɐ
pelo pelʊ
alba alβɐ
año aɲʊ
tren t̪ɾɛŋ
tren t̪ɾɛŋ
occidental ɔkθið̞ɛn̪t̪ɑɫ
fin fiŋ
nome nõmɪ
trema t̪ɾemɐ
lapis lapis̺
mes mes̺
ave aβɪ
voda boð̞ɐ
latín lat̪iŋ
corno kɔɾnʊ
hora ɔɾɐ
val bɑɫ
merda mɛɾð̞ɐ
primate pɾimat̪ɪ
para paɾɐ
fresca fɾes̺kɐ
pinta pintɐ
porco pɔɾkʊ
máscara mas̺kɑɾɐ
tubo t̪uβ̞ʊ
madre mað̞ɾɪ
seco sekʊ
racismo raθiz̺mʊ
vara baɾɐ
misa misɐ
teo teʊ
gema ʃemɐ
terror t̪ɛroɾ
azul aθuɫ
tonto t̪on̪t̪ʊ
sangue s̺ɑŋɡɪ
fresco fɾes̺kʊ
prosa pɾɔs̺ɐ
autor ɑwt̪oɾ
clima klimɐ
mortal moɾtal
mortal moɾtal
brisa bɾisɐ
caste kɑs̺t̪ɪ
espada es̺pað̞ɐ
pus pus
pala palɐ
tala talɐ
punta pun̪t̪ɐ
limón limoŋ
garganta ɡɑɾɣ̞ɑn̪t̪ɐ
algo alɣʊ
polo polʊ
polo polʊ
polo polʊ
figa fiɣɐ
culler kuɟeɾ
alga ɑɫɣ̞ɐ
balsa balsɐ
antes an̪t̪es̺
adobe að̞ɔβ̞ɪ
lima limɐ
lima limɐ
dor doɾ
bolo bɔlʊ
bolo bolʊ
servo sɛɾβʊ
tibia tiβjɐ
gala ɡalɐ
soma somɐ
macho ma̠t͡ʃʊ
macho ma̠t͡ʃʊ
asexual as̺eks̺wɑɫ
sen s̺ɛŋ
sen s̺ɛŋ
sepultura s̺epul̪t̪uɾɐ
funda fundɐ
cadáver kɑð̞aβ̞eɾ
ferradura ferað̞uɾɐ
borra borɐ
paz paθ
ametista amet̪is̺t̪ɐ
camión kɑmjoŋ
mineral mĩneɾɑɫ
ponte pon̪t̪ɪ
dente dentɪ
mente mẽn̪t̪ɪ
furto fuɾtʊ
onda ondɐ
inverno imbɛɾnʊ
logo lɔɣ̞ʊ
deus d̪ews̺
firma fiɾmɐ
gamba ɡɑmbɐ
gamba ɡɑmbɐ
tromba t̪ɾombɐ
lanza lan̪θɐ
río riʊ
avião aβi̯oŋ
director d̪iɾɛkt̪oɾ
muro muɾʊ
causa kɑws̺ɐ
cana kɑnɐ
cana kanɐ
comida komið̞ɐ
martes maɾt̪es̺
sueco s̺wɛkʊ
sueco s̺wɛkʊ
fel fɛl
freo fɾeʊ
agosto ɑɣ̞os̺t̪ʊ
abril aβ̞ɾiɫ
inspector ins̺pekt̪oɾ
coco kɔkʊ
pito pit̪ʊ
pito pit̪ʊ
garda ɡaɾðɐ
abreviatura aβ̞ɾɛβ̞jat̪uɾɐ
castelo kɑs̺t̪ɛlʊ
allo aʎʊ
horror ɔroɾ
hebreo eβɾeʊ
só sɔː
frontal fɾon̪t̪ɑɫ
lintel lin̪t̪ɛɫ
mil miɫ
illa iɟɐ
saudade s̺ɑwð̞að̞ɪ
decreto dekɾɛtʊ
ferro fɛrʊ
futuro futuɾʊ
gonzo ɡonθʊ
dado d̪að̞ʊ
gran ɡɾaŋ
barbo baɾβʊ
orca ɔɾkɐ
banda ban̪d̪ɐ
banda ban̪d̪ɐ
banda ban̪d̪ɐ
alta altɐ
cervo θɛɾβ̞ʊ
basto bas̺t̪ʊ
bando ban̪d̪ʊ
bando ban̪d̪ʊ
costume kos̺t̪umɪ
edificio ɛðifiθi̯ʊ
bozo boθʊ
paio pajʊ
morte mɔɾt̪ɪ
buio bujʊ
zorro θorʊ
fonema fonɛ̃mɐ
árabe aɾaβ̞ɪ
árabe aɾaβ̞ɪ
cascabel kɑs̺kɑβ̞ɛɫ
cascabel kɑs̺kɑβ̞ɛɫ
caldo kɑl̪d̪ʊ
fume fumɪ
fondo fon̪d̪ʊ
dito ditʊ
territorio t̪ɛrit̪ɔɾjʊ
haber aβ̞eɾ
outubro owt̪uβ̞ɾʊ
maio ma̠jʊ
setembro s̺et̪embɾʊ
parafuso paɾafus̺ʊ
novembro noβ̞embɾʊ
forma foɾmɐ
pena penɐ
pena penɐ
pena penɐ
mina minɐ
buxo buʃʊ
inglés iŋɡles̺
inglés iŋɡles̺
solteiro soltejɾʊ
fada faðɐ
multa mul̪t̪ɐ
mea meɐ
inimigo inimiɣʊ
gol ɡɔl
ovo ɔβʊ
vaso basʊ
universidade uniβ̞eɾs̺ið̞að̞ɪ
mofo mofʊ
papo papʊ
poste pɔstɪ
lodo loð̞ʊ
zafiro θafiɾʊ
zapato θapat̪ʊ
coche kɔt͡ʃɪ
puño puɲʊ
utilización ut̪iliθaθjoŋ
usurpación us̺uɾpaθjoŋ
brazo bɾaθʊ
pecado pekaðʊ
curvo kuɾβʊ
útero ut̪eɾʊ
uranio uɾanjʊ
urraca urɑkɐ
ubre uβɾɪ
mentira mẽn̪t̪iɾɐ
curva kuɾβɐ
usura us̺uɾɐ
rancho ranʲt͡ʃʊ
rancho ranʲt͡ʃʊ
campo kɑmpʊ
raza raθɐ
raza raθɐ
ábaco aβ̞ɑkʊ
abadía aβ̞að̞iɐ
abadesa aβ̞að̞es̺ɐ
cinc θiŋk
uso us̺ʊ
verde beɾð̞ɪ
baile bajlɪ
baile bajlɪ
cuarto kwaɾt̪ʊ
cuarto kwaɾt̪ʊ
odio ɔð̞jʊ
oso os̺ʊ
centro θen̪t̪ɾʊ
gusto ɡus̺t̪ʊ
brado bɾaðʊ
forza fɔɾθɐ
machismo mat͡ʃiz̺mʊ
bastardo bas̺t̪aɾð̞ʊ
bastardo bas̺t̪aɾð̞ʊ
manteiga mãn̪t̪ejɣ̞ɐ
becerro beθerʊ
civilización θiβ̞iliθaθjoŋ
falso falsʊ
fortuna foɾtunɐ
presente pɾesentɪ
vaca bɑkɐ
sorriso sorisʊ
alfa alfɐ
alfa alfɐ
elemento ɛlemẽn̪t̪ʊ
sabor s̺aβ̞oɾ
sabio s̺aβ̞jʊ
década d̪ɛkɑð̞ɐ
querubín keɾuβ̞iŋ
quino kinʊ
papel papɛɫ
norte nɔɾt̪ɪ
quilate kilatɪ
coxa koʃɐ
quedo keð̞ʊ
vida biðɐ
vida biðɐ
cidade θið̞að̞ɪ
pedal peðal
tradutor t̪ɾað̞ut̪oɾ
tradutor t̪ɾað̞ut̪oɾ
ventre bɛn̪t̪ɾɪ
cruz kɾuθ
herba ɛɾβɐ
cultura kul̪t̪uɾɐ
boca bokɐ
catafalco kɑt̪afɑɫkʊ
cada kɑð̞ɐ
bula bulɐ
bula bulɐ
hasta astɐ
decembro d̪eθembɾʊ
escola es̺kɔlɐ
tristeza t̪ɾis̺t̪eθɐ
cimo θimʊ
maña maɲɐ
taza taθɐ
capoeira kɑpoejɾɐ
definición d̪efiniθjoŋ
regalo reɣ̞ɑlʊ
roda rɔð̞ɐ
cadeira kɑðei̯ɾɐ
fortaleza foɾt̪aleθɐ
protección pɾot̪ɛkθjoŋ
victoria bikt̪ɔɾjɐ
mata matɐ
mata matɐ
ópalo ɔpalʊ
prato pɾat̪ʊ
cu ku
cu ku
cambio kɑmbjʊ
chola t͡ʃɔlɐ
calor kɑloɾ
bebida beβ̞ið̞ɐ
magnolia mɑ̃ŋnɔljɐ
rapariga rapaɾiɣ̞ɐ
estudio es̺t̪uð̞jʊ
nevada neβ̞að̞ɐ
momento mõmẽn̪t̪ʊ
dengue dɛŋɡɪ
ría riɐ
doce d̪oθɪ
doce d̪oθɪ
busca buskɐ
meco mɛkʊ
meco mɛkʊ
meco mɛkʊ
vivo biβ̞ʊ
ciencia θjɛn̪θjɐ
forro forʊ
americano amɛɾikɑnʊ
emir ɛmiɾ
monte mõn̪t̪ɪ
londra lon̪d̪ɾɐ
perigo peɾiɣʊ
presunto pɾesuntʊ
guerrilla ɡeriɟɐ
contra kon̪t̪ɾɐ
mandarina mãn̪d̪aɾinɐ
insignia ins̺iŋnjɐ
calma kɑlmɐ
meso mesʊ
alfombra ɑlfombɾɐ
semana s̺emãnɐ
poder poðeɾ
aro aɾʊ
labrador laβɾaðoɾ
esperanza es̺peɾan̪θɐ
sina sinɐ
rapa rapɐ
brosa bɾɔs̺ɐ
novo nɔβʊ
lugar luɣ̞ɑɾ
planta plan̪t̪ɐ
ídolo iðʊlʊ
amata amatɐ
auga ɑwɣ̞ɐ
niño nĩɲʊ
montaña montaɲɐ
bita bitɐ
falla faʎɐ
á a
antivirus an̪t̪iβ̞iɾus̺
parede paɾeðe̝
cacique kɑθikɪ
tinta t̪in̪t̪ɐ
posta pɔstɐ
trimestre t̪ɾimɛs̺t̪ɾɪ
vaxa baʃɐ
arras aras
carioca kɑɾjɔkɐ
carioca kɑɾjɔkɐ
parente paɾen̪t̪ɪ
cara kɑɾɐ
cama kɑmɐ
decisión d̪eθis̺joŋ
límite limit̪ɪ
organización ɔɾɣ̞ɑniθaθjoŋ
ceo θɛʊ
sanción s̺an̪θjoŋ
compromiso kompɾomis̺ʊ
asociación as̺oθjaθjoŋ
manifestación mãnifes̺t̪aθjoŋ
compatriota kompat̪ɾjɔt̪ɐ
terreo t̪ɛreʊ
proceso pɾoθɛs̺ʊ
oposición ɔpos̺iθjoŋ
corrupción korupθjoŋ
investigación imbes̺t̪iɣ̞ɑθjoŋ
negociación neɣ̞ɔθjaθjoŋ
unión unjoŋ
parola paɾɔlɐ
importancia impoɾt̪an̪θjɐ
instalación ins̺t̪alaθjoŋ
relación relaθjoŋ
declaración d̪eklaɾaθjoŋ
avión aβi̯oŋ
avión aβi̯oŋ
nación naθjoŋ
área aɾeɐ
maleta maletɐ
atención at̪en̪θjoŋ
división d̪iβ̞is̺joŋ
retorno retoɾnʊ
retorno retoɾnʊ
abolición aβ̞oliθjoŋ
exportación eks̺pɔɾt̪aθjoŋ
prensa pɾens̺ɐ
confrontación koɱfɾon̪t̪aθjoŋ
monarquía mõnaɾkiɐ
equipo ɛkipʊ
expansión eks̺pans̺joŋ
secretario s̺ekɾet̪aɾjʊ
mercado meɾkɑð̞ʊ
promoción pɾomoθjoŋ
protesta pɾot̪ɛs̺t̪ɐ
fecha fet͡ʃɐ
asunto as̺un̪t̪ʊ
programa pɾoɣ̞ɾamɐ
madrugada mað̞ɾuɣ̞ɑð̞ɐ
pasado pasaðʊ
condición kondiθi̯oŋ
polígono poliɣ̞onʊ
partido paɾt̪ið̞ʊ
educación eð̞ukɑθjoŋ
detención d̪et̪en̪θjoŋ
político polit̪ikʊ
época ɛpokɐ
residencia res̺ið̞en̪θjɐ
influencia iɱfluɛn̪θjɐ
terrorismo t̪ɛroɾiz̺mʊ
rede reð̞ɪ
televisión t̪eleβ̞is̺jɔŋ
comercio komɛɾθi̯ʊ
iluminación ilumĩnaθjoŋ
provincia pɾoβ̞in̪θjɐ
opinión ɔpinjoŋ
temor temoɾ
razón raθoŋ
falta fɑl̪t̪ɐ
armario aɾmaɾjʊ
colchón kolʲt͡ʃoŋ
pantalón pan̪t̪aloŋ
chaleco t͡ʃalɛkʊ
microscopio mikɾos̺kɔpjʊ
bastón bas̺t̪oŋ
ministro mĩnis̺t̪ɾʊ
luns luŋs̺
colcha kolʲt͡ʃɐ
gancho ɡɑnʲt͡ʃʊ
posición pos̺iθjoŋ
expresión eks̺pɾes̺joŋ
integración in̪t̪eɣ̞ɾaθjoŋ
solución s̺oluθjoŋ
actuación ɑkt̪waθjoŋ
soldado soldaðʊ
escala es̺kɑlɐ
función fun̪θjoŋ
experto eks̺pɛɾt̪ʊ
aspiración as̺piɾaθjoŋ
forca fɔɾkɐ
presión pɾes̺joŋ
mudanza muðanθɐ
pacifismo paθifiz̺mʊ
atracción at̪ɾɑkθjoŋ
federación feð̞eɾaθjoŋ
pecho pet͡ʃʊ
parada paɾað̞ɐ
xadrez ʃað̞ɾeθ
comandante komãn̪d̪an̪t̪ɪ
tamaño tamaɲʊ
sacrificio s̺ɑkɾifiθjʊ
fórmula fɔɾmulɐ
símbolo s̺imbolʊ
candidato kɑn̪d̪ið̞at̪ʊ
abrazo aβ̞ɾaθʊ
grillo ɡɾiʎʊ
confesión koɱfes̺joŋ
visión bis̺joŋ
pobreza poβ̞ɾeθɐ
tendón tendoŋ
sitio s̺it̪jʊ
vínculo biŋkʊlʊ
batalla bat̪a̠ɟɐ
músculo mus̺kulʊ
excepción eks̺θɛpθjoŋ
cabala kaβalɐ
prohibición pɾoiβ̞iθjoŋ
recomendación rekomẽn̪d̪aθjoŋ
mamá mama
entrada en̪t̪ɾað̞ɐ
reino rejnʊ
violación biɔlaθjoŋ
oído oiðʊ
acusación ɑkus̺aθjoŋ
marco maɾkʊ
marco maɾkʊ
circunstancia θiɾkuns̺t̪an̪θjɐ
regulación reɣ̞ulaθjoŋ
fallo fa̠ɟʊ
nariz naɾiθ
insulto insultʊ
combustión kombus̺t̪joŋ
munición mũniθjoŋ
cabeza kɑβ̞eθɐ
inmigración iŋmiɣ̞ɾaθjoŋ
migración miɣ̞ɾaθjoŋ
bebé beβ̞e
petróleo pet̪ɾɔleʊ
distancia d̪is̺t̪an̪θjɐ
traidor t̪ɾa̠jð̞oɾ
máquina mɑkinɐ
continente kon̪t̪inẽn̪t̪ɪ
discusión d̪is̺kus̺joŋ
baño baɲʊ
prisión pɾis̺joŋ
separación s̺epaɾaθjoŋ
representación repɾes̺en̪t̪aθjoŋ
noción noθjoŋ
cortina koɾtinɐ
barco baɾkʊ
difusión d̪ifus̺joŋ
acumulación ɑkumulaθjoŋ
edición eð̞iθjoŋ
esencia ɛs̺ɛn̪θjɐ
altura altuɾɐ
brigada bɾiɣaðɐ
tropa t̪ɾɔpɐ
sistema s̺is̺t̪ɛmɐ
narciso naɾθis̺ʊ
colapso kolaps̺ʊ
curso kuɾsʊ
curso kuɾsʊ
espectro es̺pɛkt̪ɾʊ
vestido bes̺t̪ið̞ʊ
pipa pipɐ
foro fɔɾʊ
coronel koɾonɛɫ
goma ɡomɐ
escano eskanʊ
instrumento ins̺t̪ɾumẽn̪t̪ʊ
anello aneɟʊ
socialista s̺ɔθjalis̺t̪ɐ
barba baɾβ̞ɐ
fútbol fut̪β̞ɔɫ
seo s̺eʊ
boi boj
tapiz tapiθ
bala balɐ
creación kɾeaθjoŋ
barda baɾðɐ
barda baɾðɐ
herbal ɛɾβal
canção kɑn̪θoŋ
rápido rapið̞ʊ
compadre kompaðɾɪ
cabrón kɑβ̞ɾoŋ
dama d̪amɐ
asunción as̺un̪θjoŋ
lágrima lɑɣ̞ɾimɐ
peixe pejʃɪ
brume bɾumɪ
rama ramɐ
dolmen dɔlmɪŋ
pesar pesaɾ
aquel ɑkeɫ
galego ɡɑleɣ̞ʊ
galego ɡɑleɣ̞ʊ
cancioneiro kɑn̪θjonejɾʊ
igual iɣ̞wɑɫ
igual iɣ̞wɑɫ
algodón ɑɫɣ̞oð̞oŋ
alcalde ɑɫkɑl̪d̪ɪ
enxofre enʲʃɔfɾɪ
ouro owɾʊ
vello bɛɟʊ
prata pɾat̪ɐ
ópera ɔpeɾɐ
desaire d̪es̺a̠jɾɪ
destreza d̪es̺t̪ɾeθɐ
obra ɔβɾɐ
fogo fɔɣ̞ʊ
chato t͡ʃat̪ʊ
pobre pɔβ̞ɾɪ
abrigo aβ̞ɾiɣ̞ʊ
vía biɐ
estragón es̺t̪ɾɑɣ̞oŋ
moco mokʊ
culpa kulpɐ
alemán alemɑ̃ŋ
alemán alemɑ̃ŋ
pulmón pulmoŋ
vagón bɑɣ̞oŋ
vagancia bɑɣ̞ɑn̪θjɐ
vacío baθiʊ
validación balið̞aθjoŋ
blida bliðɐ
variación baɾjaθjoŋ
vándalo ban̪d̪alʊ
coima kojmɐ
vasallo bas̺a̠ɟʊ
velorio belɔɾjʊ
masturbación mas̺t̪uɾβ̞aθjoŋ
habitación aβ̞it̪aθjoŋ
víbora biβʊɾɐ
cal kɑɫ
cal kɑɫ
cal kɑɫ
choza t͡ʃɔθɐ
nube nuβɪ
soga soɣɐ
tránsito t̪ɾans̺it̪ʊ
garrote ɡɑrɔt̪ɪ
carro kɑrʊ
rea reɐ
pavo paβ̞ʊ
piña piɲɐ
rodeo roðeʊ
rodeo roðeʊ
paso pas̺ʊ
escopeta es̺kopet̪ɐ
tato t̪at̪ʊ
vagar baɣaɾ
verro bɛrʊ
trato tɾatʊ
festa fɛs̺tɐ
rei rej
tradición t̪ɾað̞iθjoŋ
figo fiɣʊ
pana panɐ
mester mestɛɾ
soba soβɐ
xa ʃa
xa ʃa
casco kɑs̺kʊ
ida iðɐ
pataca pat̪ɑkɐ
pataca pat̪ɑkɐ
cruzado kɾuθað̞ʊ
coito kojt̪ʊ
peseta pes̺et̪ɐ
pozo poθʊ
barril bariɫ
muller muɟɛɾ
fiel fjɛɫ
leito lejt̪ʊ
noite nojt̪ɪ
peito pejt̪ʊ
peito pejt̪ʊ
mastín mastiŋ
ripa ripɐ
ripa ripɐ
venta bentɐ
febre fɛβ̞ɾɪ
sella s̺eɟɐ
leite lejt̪ɪ
pinga piŋɡɐ
malva malβɐ
fala falɐ
vinda bindɐ
feo feo̝
pulo pulʊ
transformación t̪ɾans̺foɾmaθjoŋ
cella θeʎɐ
morto mɔɾt̪ʊ
vedro bɛð̞ɾʊ
cera θeɾɐ
testo testo̝
corpo koɾpʊ
ganso ɡɑns̺ʊ
mouro mowɾʊ
mouro mowɾʊ
cava kɑβɐ
torre torɪ
rastro ras̺t̪ɾʊ
rubio ruβ̞jʊ
homem ɔmẽŋ
Pedro peð̞ɾʊ
pau pɑw
abarca aβ̞aɾkɐ
cazón kɑθoŋ
acelga aθɛɫɣ̞ɐ
achaque at͡ʃɑkɪ
teatro t̪eat̪ɾʊ
apio apjʊ
brasa bɾas̺ɐ
tombo t̪ombʊ
tombo t̪ombʊ
cerume θeɾumɪ
aparato apaɾat̪ʊ
lume lumɪ
firme fiɾmɪ
lado lað̞ʊ
lado lað̞ʊ
cima θimɐ
sapo s̺apʊ
lapa lapɐ
lapa lapɐ
lapa lapɐ
marfil maɾfiɫ
impar impaɾ
foda foðɐ
prado pɾað̞ʊ
salchicha s̺ɑlʲt͡ʃit͡ʃɐ
profesor pɾofes̺oɾ
permanente peɾmãnẽn̪t̪ɪ
sona sonɐ
tomba tombɐ
asno asnʊ
albaricoque ɑlβ̞aɾikɔkɪ
alegría aleɣɾiɐ
polpa polpɐ
abanico aβ̞anikʊ
caída kɑið̞ɐ
abeto aβ̞et̪ʊ
abeto aβ̞et̪ʊ
sopa s̺opɐ
turco t̪uɾkʊ
turco t̪uɾkʊ
samo samʊ
misto mistʊ
folla foɟɐ
rinoceronte rinɔθeɾon̪t̪ɪ
observatorio ɔbs̺ɛɾβ̞at̪ɔɾjʊ
blao blɑʊ
pota pɔtɐ
noz nɔθ
grao ɡɾɑʊ
grao ɡɾɑʊ
menta mɛ̃n̪t̪ɐ
fachada fat͡ʃað̞ɐ
relo relʊ
relo rɛlʊ
relo rɛlʊ
fana fana
dedal deðal
orde ɔɾð̞ɪ
ladrón laðɾoŋ
celta θɛltɐ
rabo raβ̞ʊ
sombra s̺ombɾɐ
célula θɛlulɐ
cacha kɑt͡ʃɐ
cacha kɑt͡ʃɐ
bola bolɐ
oco ɔkʊ
calza kɑlθɐ
canoa kɑnɔɐ
soles s̺olɪs̺
calo kɑlʊ
óleo ɔleʊ
sección s̺ɛkθjoŋ
hipoteca ipotɛkɐ
casta kɑs̺t̪ɐ
chupa t͡ʃupa
aldea ɑl̪d̪eɐ
fonte fontɪ
rabia raβ̞jɐ
oliva oliβɐ
orgasmo ɔɾɣ̞ɑz̺mʊ
cometa komet̪ɐ
contento kontentʊ
morango moɾaŋɡʊ
ameixa amejʃɐ
ameixa amejʃɐ
duna d̪unɐ
conto kon̪t̪ʊ
salto s̺ɑl̪t̪ʊ
correo koreʊ
correo koreʊ
corrente korɛntɪ
corrida koriðɐ
monarca mõnaɾkɐ
aguante ɑɣ̞wan̪t̪ɪ
alistado alistaðʊ
anoto anotʊ
arrimado arimaðʊ
asedio as̺ɛð̞jʊ
opción ɔpθjoŋ
botón bot̪oŋ
tecla t̪ɛklɐ
asfalto as̺fɑl̪t̪ʊ
barriga bariɣ̞ɐ
baila bajlɐ
borro borʊ
brota bɾɔtɐ
barro barʊ
barro barʊ
calado kɑlaðʊ
cacho kɑt͡ʃʊ
cacho kɑt͡ʃʊ
cacho kɑt͡ʃʊ
cebado θeβaðʊ
carda kɑɾðɐ
chincho t͡ʃint͡ʃʊ
chinche t͡ʃinʲt͡ʃɪ
cata kɑtɐ
censura θens̺uɾɐ
colmado kolmaðʊ
castro kɑs̺t̪ɾʊ
comba kombɐ
consigna kons̺iŋnɐ
ceba θeβa̝
ceba θeβa̝
convidado kombiðaðʊ
contrato kontɾatʊ
conversa kombɛɾs̺ɐ
deporte d̪epɔɾt̪ɪ
decoro d̪ekoɾʊ
despacho d̪es̺pa̠t͡ʃʊ
disciplina d̪is̺θiplinɐ
morsa mɔɾs̺ɐ
hipopótamo ipopɔt̪amʊ
empacho empat͡ʃʊ
amigos amiɣ̞os̺
encanto eŋkɑn̪t̪ʊ
enfermaría eɱfeɾmaɾiɐ
enfermo eɱfeɾmʊ
entalla entaʎɐ
tenaces tenaθɪs
escatima eskɑtimɐ
escama eskɑmɐ
fracaso fɾɑkɑs̺ʊ
forra forɐ
forra forɐ
frota fɾɔtɐ
esmalte esmaltɪ
espanto espantʊ
fundamento fundamentʊ
estorbo estɔɾβʊ
guisado ɡisaðʊ
seteira sɛtejɾɐ
estribo estɾiβʊ
grado ɡɾaðʊ
figueira fiɰejɾɐ
cachalote kɑt͡ʃalɔt̪ɪ
fato fat̪ʊ
extremo eks̺t̪ɾemʊ
morcego moɾθeɣ̞ʊ
ladra laðɾɐ
lavado laβ̞að̞ʊ
parcela paɾθɛlɐ
tardar t̪aɾð̞aɾ
logro loɣɾʊ
piso pis̺ʊ
privado pɾiβaðʊ
quitas kit̪as̺
mandado mandaðʊ
mareo maɾeʊ
quebra kɛβ̞ɾɐ
medra mɛðɾɐ
mancha mãnʲt͡ʃɐ
mesura mesuɾɐ
pulso puls̺ʊ
nado naðʊ
mangueira mɑ̃ŋɡejɾɐ
mangueira mɑ̃ŋɡejɾɐ
mangueira mɑ̃ŋɡejɾɐ
remedio remɛð̞jʊ
repelo repɛlʊ
represa repɾesɐ
tacho t̪a̠t͡ʃʊ
tacha t̪a̠t͡ʃɐ
tapia tapjɐ
silencio s̺ilɛn̪θjʊ
templo t̪emplʊ
sorba soɾβɐ
torneo tɔɾneʊ
tardo t̪aɾð̞ʊ
